event_name,event_date,event_location,winner,fighter_a_name,fighter_b_name,weightclass,method_of_victory,round_of_victory,time_of_victory,time_format,referee,title_fight,gender,Fighter A Odds,Fighter A Avg Odds,Fighter A Best Odds,Fighter B Odds,Fighter B Avg Odds,Fighter B Best Odds
UFC Fight Night: Barboza vs. Chikadze,2021-08-28,"Las Vegas, Nevada, USA",Mana Martinez,Mana Martinez,Guido Cannetti,Bantamweight,Decision - Split,3,5:00,3,Chris Tognoni,False,men,[],,,[],,
UFC Fight Night: Cannonier vs. Gastelum,2021-08-21,"Las Vegas, Nevada, USA",Saidyokub Kakhramonov,Saidyokub Kakhramonov,Trevin Jones,Bantamweight,Submission,3,4:39,3,Herb Dean,False,men,[],,,[],,
UFC Fight Night: Cannonier vs. Gastelum,2021-08-21,"Las Vegas, Nevada, USA",Austin Lingo,Austin Lingo,Luis Saldana,Featherweight,Decision - Unanimous,3,5:00,3,Herb Dean,False,men,[],,,[],,
UFC Fight Night: Cannonier vs. Gastelum,2021-08-21,"Las Vegas, Nevada, USA",Josiane Nunes,Josiane Nunes,Bea Malecki,Bantamweight,KO/TKO,1,4:54,3,Keith Peterson,False,women,[],,,[],,
UFC Fight Night: Cannonier vs. Gastelum,2021-08-21,"Las Vegas, Nevada, USA",William Knight,William Knight,Fabio Cherant,Light heavyweight,KO/TKO,1,3:58,3,Chris Tognoni,False,men,[],,,[],,
UFC Fight Night: Cannonier vs. Gastelum,2021-08-21,"Las Vegas, Nevada, USA",Ignacio Bahamondes,Ignacio Bahamondes,Roosevelt Roberts,Lightweight,KO/TKO,3,4:55,3,Mark Smith,False,men,[],,,[],,
UFC 265: Lewis vs. Gane,2021-08-07,"Houston, Texas, USA",Melissa Gatto,Melissa Gatto,Victoria Leonardo,Flyweight,TKO - Doctor's Stoppage,2,5:00,3,Jacob Montalvo,False,women,[],,,[],,
UFC 265: Lewis vs. Gane,2021-08-07,"Houston, Texas, USA",Johnny Munoz,Johnny Munoz,Jamey Simmons,Bantamweight,Submission,2,2:35,3,Jeff Rexroad,False,men,[],,,[],,
UFC Fight Night: Hall vs. Strickland,2021-07-31,"Las Vegas, Nevada, USA",Cheyanne Vlismas,Cheyanne Vlismas,Gloria de Paula,Strawweight,KO/TKO,1,1:00,3,Mark Smith,False,women,[],,,[],,
UFC Fight Night: Hall vs. Strickland,2021-07-31,"Las Vegas, Nevada, USA",Melsik Baghdasaryan,Melsik Baghdasaryan,Collin Anglin,Featherweight,KO/TKO,2,1:50,3,Mark Smith,False,men,[],,,[],,
UFC Fight Night: Hall vs. Strickland,2021-07-31,"Las Vegas, Nevada, USA",Chris Gruetzemacher,Chris Gruetzemacher,Rafa Garcia,Lightweight,Decision - Unanimous,3,5:00,3,Chris Tognoni,False,men,[],,,[],,
UFC Fight Night: Hall vs. Strickland,2021-07-31,"Las Vegas, Nevada, USA",Phil Rowe,Phil Rowe,Orion Cosce,Welterweight,KO/TKO,2,4:21,3,Chris Tognoni,False,men,[],,,[],,
UFC Fight Night: Makhachev vs. Moises,2021-07-17,"Las Vegas, Nevada, USA",Daniel Rodriguez,Daniel Rodriguez,Preston Parsons,Welterweight,KO/TKO,1,3:47,3,Mike Beltran,False,men,[],,,[],,
UFC 264: Poirier vs. McGregor 3,2021-07-10,"Las Vegas, Nevada, USA",Sean O'Malley,Sean O'Malley,Kris Moutinho,Bantamweight,KO/TKO,3,4:33,3,Herb Dean,False,men,[],,,[],,
